iter	Passed	Remaining
0	189	189161
1	241	120514
2	309	102922
3	368	9178744	448	8921855	546	9047466	624	8852777	719	8920988	789	8694399	870	86188110	950	85450111	1038	85474112	1124	85364113	1194	84129114	1249	82071115	1315	80923116	1382	79955117	1445	78861118	1512	78071119	1590	77937220	1651	76988221	1696	75430222	1763	74928223	1823	74163224	1891	73760225	1943	72810226	1991	71758227	2059	71481228	2132	71416
29	2188	70769330	2251	70362
31	2297	69498332	2341	68612333	2414	68607334	2481	68409335	2527	67681336	2603	67756337	2668	67564338	2742	67583
39	2795	67089
40	2841	66456
41	2884	65800442	2932	65256443	2973	64614444	3018	64050445	3069	6365046	3155	63992
447	3164	62758448	3218	62474449	3270	6214350	3362	62573
551	3398	61959552	3472	62053553	3532	6187754	3637	62492
55	3720	62709
56	3816	63136
57	3895	63275
58	3950	63002
59	4006	62775
60	4072	62690
61	4137	62602
62	4179	62164
63	4231	61880
64	4271	61436
65	4303	60904
66	4351	60595
67	4401	60321
68	4455	60117
69	4500	59790
70	4547	59500
71	4602	59324
72	4665	59250
73	4715	59010
74	4762	58734
75	4812	58510
76	4876	58458
77	4922	58190
78	4969	57940
79	5023	57775
80	5072	57553
81	5140	57550
82	5187	57311
83	5235	57093
84	5293	56980
85	5348	56848
86	5396	56629
87	5450	56483
88	5517	56472
89	5583	56453
90	5648	56421
91	5709	56354
92	5769	56267
93	5832	56213
94	5877	55991
95	5921	55758
96	5974	55620
97	6025	55457
98	6070	55248
99	6125	55130
100	6172	54938
101	6215	54717
102	6268	54591
103	6339	54618
104	6398	54543
105	6461	54495
106	6520	54422
107	6562	54202
108	6600	53957
109	6653	53835
110	6699	53653
111	6746	53493
112	6798	53367
113	6844	53191
114	6888	53009
115	6939	52882
116	6986	52729
117	7043	52646
118	7113	52664
119	7153	52461
120	7204	52339
121	7253	52204
122	7311	52132
123	7360	51998
124	7407	51855
125	7461	51755
126	7518	51680
127	7572	51588
128	7622	51463
129	7673	51352
130	7721	51223
131	7769	51087
132	7820	50983
133	7868	50848
134	7918	50734
135	7964	50600
136	8018	50513
137	8069	50407
138	8121	50305
139	8173	50207
140	8228	50132
141	8281	50037
142	8333	49944
143	8402	49948
144	8459	49884
145	8515	49807
146	8575	49759
147	8631	49687
148	8684	49602
149	8732	49483
150	8776	49346
151	8835	49290
152	8889	49211
153	8941	49120
154	9003	49083
155	9058	49008
156	9105	48893
157	9174	48890
158	9227	48804
159	9276	48703
160	9326	48603
161	9377	48510
162	9449	48521
163	9504	48448
164	9552	48343
165	9603	48249
166	9652	48146
167	9704	48061
168	9756	47974
169	9811	47903
170	9860	47803
171	9914	47726
172	9963	47630
173	10017	47553
174	10072	47483
175	10124	47402
176	10175	47313
177	10229	47238
178	10280	47154
179	10335	47085
180	10387	47002
181	10440	46924
182	10496	46862
183	10542	46754
184	10590	46653
185	10641	46572
186	10694	46495
187	10743	46402
188	10793	46313
189	10839	46211
190	10890	46129
191	10937	46030
192	10982	45921
193	11031	45830
194	11088	45776
195	11136	45681
196	11184	4197	1197	11229	4198	1198	11280	4199	1199	11335	4200	1200	11384	4201	1201	11434	4202	1202	11490	2203	1203	11538	2204	1204	11589	205	11205	11644	206	11716	44883
207	11778	44847
208	11831	44777
209	11900	44769
210	11972	44770
211	12034	44730
212	12086	44658
213	12141	44593
214	12189	44504
215	12244	44444
216	12299	44380
217	12356	44324
218	12426	44313
219	12494	44299
220	12566	44295
221	12627	44251
222	12721	44326
223	12780	44276
224	12831	44196
225	12886	44134
226	12950	44101
227	13005	44037
228	13063	43981
229	13114	43906
230	13168	43837
231	13220	43765
232	13275	43699
233	13324	43617
234	13373	43533
235	13423	43454
236	13477	43388
